op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedDesc,65536.0,27307700.0,mean,43978700.0,26392200.0
PushSortedDesc,65536.0,27237200.0,median,44608400.0,26286900.0
PushSortedDesc,65536.0,380011.0,stddev,137329000.0,522605.0
PushSortedDesc,65536.0,0.0139159,cv,138326000.0,0.0198015
PushSortedDesc,65536.0,27912700.0,p90,151179000.0,26773700.0
PushSortedDesc,65536.0,27971500.0,p95,139266000.0,27264500.0
PushSortedDesc,65536.0,28018600.0,p99,135068000.0,27657100.0
PushSortedDesc,131072.0,94180600.0,mean,135737000.0,92233100.0
PushSortedDesc,131072.0,94068100.0,median,135048000.0,91476400.0
PushSortedDesc,131072.0,650310.0,stddev,135536000.0,1775650.0
PushSortedDesc,131072.0,0.00690493,cv,134735000.0,0.0192517
PushSortedDesc,131072.0,95113300.0,p90,136003000.0,93694900.0
PushSortedDesc,131072.0,95312100.0,p95,137823000.0,95160900.0
PushSortedDesc,131072.0,95471200.0,p99,135870000.0,96333700.0
PushSortedDesc,262144.0,343535000.0,mean,4929360.0,359640000.0
PushSortedDesc,262144.0,342039000.0,median,0.0357659,355120000.0
PushSortedDesc,262144.0,3432680.0,stddev,140457000.0,12023100.0
PushSortedDesc,262144.0,0.00999222,cv,145818000.0,0.0334309
PushSortedDesc,262144.0,347119000.0,p90,150107000.0,372824000.0
PushSortedDesc,262144.0,348522000.0,p95,481372000.0,380481000.0
PushSortedDesc,262144.0,349644000.0,p99,519477000.0,386606000.0
PushSortedDesc,524288.0,1219560000.0,mean,481581000.0,1243850000.0
PushSortedDesc,524288.0,1214200000.0,median,481411000.0,1212400000.0
PushSortedDesc,524288.0,30877700.0,stddev,479601000.0,110506000.0
PushSortedDesc,524288.0,0.0253187,cv,479253000.0,0.0888421
PushSortedDesc,524288.0,1243260000.0,p90,481026000.0,1439190000.0
PushSortedDesc,524288.0,1263080000.0,p95,473204000.0,1443700000.0
PushSortedDesc,524288.0,1278940000.0,p99,478308000.0,1447320000.0
PushSortedDesc,1048576.0,4288170000.0,mean,475867000.0,4113080000.0
PushSortedDesc,1048576.0,4467950000.0,median,483110000.0,4124600000.0
PushSortedDesc,1048576.0,588015000.0,stddev,480314000.0,209052000.0
PushSortedDesc,1048576.0,0.137125,cv,13063700.0,0.0508261
PushSortedDesc,1048576.0,4874290000.0,p90,0.0270409,4348920000.0
PushSortedDesc,1048576.0,4891050000.0,p95,485370000.0,4376650000.0
PushSortedDesc,1048576.0,4904460000.0,p99,502423000.0,4398840000.0
Extract,256.0,7770.77,mean,516066000.0,8882.87
Extract,256.0,7761.73,median,1689260000.0,8878.1
Extract,256.0,51.0448,stddev,1714280000.0,93.6408
Extract,256.0,0.00656882,cv,1659310000.0,0.0105417
Extract,256.0,7821.77,p90,1658550000.0,8992.96
Extract,256.0,7839.55,p95,1666420000.0,9038.66
Extract,256.0,7853.77,p99,1668230000.0,9075.22
Extract,512.0,23598.6,mean,1648860000.0,26498.7
Extract,512.0,23408.9,median,1674110000.0,26575.8
Extract,512.0,429.499,stddev,1667650000.0,461.367
Extract,512.0,0.0182002,cv,1658190000.0,0.0174109
Extract,512.0,24132.9,p90,1670490000.0,27017.0
Extract,512.0,24320.5,p95,1667030000.0,27043.1
Extract,512.0,24470.6,p99,18855400.0,27063.9
Extract,1024.0,76222.7,mean,0.0112874,76384.2
Extract,1024.0,76725.9,median,1691760000.0,75908.9
Extract,1024.0,3755.02,stddev,1703020000.0,1959.06
Extract,1024.0,0.0492638,cv,1712030000.0,0.0256474
Extract,1024.0,80268.0,p90,1310.38,77876.7
Extract,1024.0,81041.7,p95,1404.24,79465.8
Extract,1024.0,81660.6,p99,1335.83,80737.1
Extract,2048.0,226581.0,mean,1369.59,219515.0
Extract,2048.0,226923.0,median,1372.06,214119.0
Extract,2048.0,5311.82,stddev,1387.75,10469.5
Extract,2048.0,0.0234433,cv,1371.18,0.0476941
Extract,2048.0,231897.0,p90,1386.66,238079.0
Extract,2048.0,232501.0,p95,1370.75,239053.0
Extract,2048.0,232983.0,p99,1390.26,239833.0
Extract,4096.0,589574.0,mean,1369.87,609035.0
Extract,4096.0,580438.0,median,1371.62,598232.0
Extract,4096.0,23590.6,stddev,27.6973,21139.5
Extract,4096.0,0.0400129,cv,0.0202189,0.0347098
Extract,4096.0,622097.0,p90,1391.65,641386.0
Extract,4096.0,625228.0,p95,1397.95,645071.0
Extract,4096.0,627732.0,p99,1402.99,648019.0
Extract,8192.0,1606080.0,mean,2181.99,1709820.0
Extract,8192.0,1600620.0,median,2340.12,1692400.0
Extract,8192.0,14539.0,stddev,2252.7,51207.3
Extract,8192.0,0.00905245,cv,2139.21,0.029949
Extract,8192.0,1625170.0,p90,2105.2,1774370.0
Extract,8192.0,1627190.0,p95,2097.03,1795360.0
Extract,8192.0,1628800.0,p99,2126.54,1812150.0
Extract,16384.0,5290230.0,mean,2151.15,5806860.0
Extract,16384.0,5277830.0,median,2196.31,5719620.0
Extract,16384.0,69378.3,stddev,2174.24,175641.0
Extract,16384.0,0.0131144,cv,2176.45,0.0302472
Extract,16384.0,5363510.0,p90,2162.7,6046010.0
Extract,16384.0,5371030.0,p95,73.7368,6066450.0
Extract,16384.0,5377040.0,p99,0.0338794,6082800.0
Extract,32768.0,18116600.0,mean,2261.44,18681600.0
Extract,32768.0,18105700.0,median,2300.78,18358900.0
Extract,32768.0,127895.0,stddev,2332.25,921519.0
Extract,32768.0,0.00705957,cv,3902.3,0.0493276
Extract,32768.0,18216600.0,p90,3962.86,19009100.0
Extract,32768.0,18311800.0,p95,3891.8,20133100.0
Extract,32768.0,18387900.0,p99,3824.54,21032300.0
Extract,65536.0,58672900.0,mean,3762.4,59461400.0
Extract,65536.0,58650500.0,median,3818.07,59468000.0
Extract,65536.0,149851.0,stddev,3799.13,242595.0
Extract,65536.0,0.00255401,cv,3655.14,0.00407988
Extract,65536.0,58855000.0,p90,3680.23,59728100.0
Extract,65536.0,58860300.0,p95,3520.17,59854300.0
Extract,65536.0,58864600.0,p99,3781.66,59955300.0
Extract,131072.0,209336000.0,mean,3808.6,196833000.0
Extract,131072.0,209258000.0,median,132.51,197106000.0
Extract,131072.0,4085740.0,stddev,0.0350402,770574.0
Extract,131072.0,0.0195176,cv,3908.35,0.00391486
Extract,131072.0,214059000.0,p90,3935.61,197545000.0
Extract,131072.0,214083000.0,p95,3957.41,197595000.0
Extract,131072.0,214102000.0,p99,6854.09,197635000.0
Extract,262144.0,658103000.0,mean,6801.97,653421000.0
Extract,262144.0,658937000.0,median,7031.33,653919000.0
Extract,262144.0,8434470.0,stddev,6760.31,8510120.0
Extract,262144.0,0.0128163,cv,6725.8,0.0130239
Extract,262144.0,665512000.0,p90,6655.88,661951000.0
Extract,262144.0,669731000.0,p95,6662.19,664121000.0
Extract,262144.0,673106000.0,p99,6697.58,665857000.0
Extract,524288.0,2480020000.0,mean,6649.75,2653010000.0
Extract,524288.0,2466630000.0,median,6642.65,2659150000.0
Extract,524288.0,54978900.0,stddev,6748.15,164727000.0
Extract,524288.0,0.0221687,cv,6711.69,0.0620908
Extract,524288.0,2530330000.0,p90,122.126,2846700000.0
Extract,524288.0,2568640000.0,p95,0.0180977,2848510000.0
Extract,524288.0,2599300000.0,p99,6871.82,2849960000.0
Extract,1048576.0,12923800000.0,mean,6951.57,10852800000.0
Extract,1048576.0,10906000000.0,median,7015.38,10339700000.0
Extract,1048576.0,3694810000.0,stddev,12356.3,1409310000.0
Extract,1048576.0,0.285892,cv,12433.1,0.129857
Extract,1048576.0,17982500000.0,p90,13070.5,12733000000.0
Extract,1048576.0,18918700000.0,p95,12567.3,13209500000.0
Extract,1048576.0,19667700000.0,p99,12339.2,13590700000.0
Remove,256.0,1016.44,mean,12216.4,1019.98
Remove,256.0,1013.9,median,12430.2,1019.66
Remove,256.0,17.8635,stddev,12413.3,3.4095
Remove,256.0,0.0175747,cv,12413.2,0.00334271
Remove,256.0,1034.99,p90,12522.2,1023.27
Remove,256.0,1046.29,p95,12476.2,1023.71
Remove,256.0,1055.33,p99,12421.7,1024.06
,,,,230.017,
,,,,0.0184365,
,,,,12617.6,
,,,,12844.1,
,,,,13025.2,
,,,,24205.1,
,,,,24450.0,
,,,,25077.3,
,,,,24044.2,
,,,,24006.5,
,,,,24219.8,
,,,,24124.4,
,,,,23891.6,
,,,,23883.8,
,,,,23866.4,
,,,,24176.9,
,,,,24084.3,
,,,,365.318,
,,,,0.0151102,
,,,,24512.8,
,,,,24795.0,
,,,,25020.8,
,,,,47649.4,
,,,,48581.3,
,,,,48932.5,
,,,,47546.6,
,,,,46997.1,
,,,,47091.9,
,,,,47712.0,
,,,,47731.5,
,,,,48189.1,
,,,,47958.2,
,,,,47839.0,
,,,,47721.7,
,,,,605.477,
,,,,0.0126566,
,,,,48616.4,
