op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp
PushSortedDesc,2048.0,4344.57,stddev,2315.79
PushSortedDesc,2048.0,0.0137752,cv,0.00859769
PushSortedDesc,2048.0,320704.0,p90,271209.0
PushSortedDesc,2048.0,322171.0,p95,273181.0
PushSortedDesc,2048.0,323344.0,p99,274758.0
PushSortedDesc,4096.0,826291.0,mean,715726.0
PushSortedDesc,4096.0,821880.0,median,713379.0
PushSortedDesc,4096.0,14367.7,stddev,9178.21
PushSortedDesc,4096.0,0.0173882,cv,0.0128236
PushSortedDesc,4096.0,842381.0,p90,728270.0
PushSortedDesc,4096.0,845962.0,p95,732499.0
PushSortedDesc,4096.0,848827.0,p99,735882.0
PushSortedDesc,8192.0,2148180.0,mean,1864980.0
PushSortedDesc,8192.0,2137930.0,median,1855820.0
PushSortedDesc,8192.0,47712.1,stddev,24918.8
PushSortedDesc,8192.0,0.0222105,cv,0.0133614
PushSortedDesc,8192.0,2214710.0,p90,1902540.0
PushSortedDesc,8192.0,2224330.0,p95,1909830.0
PushSortedDesc,8192.0,2232020.0,p99,1915650.0
PushSortedDesc,16384.0,5307170.0,mean,4761510.0
PushSortedDesc,16384.0,5257160.0,median,4737060.0
PushSortedDesc,16384.0,123635.0,stddev,72015.2
PushSortedDesc,16384.0,0.0232958,cv,0.0151245
PushSortedDesc,16384.0,5495510.0,p90,4844260.0
PushSortedDesc,16384.0,5531600.0,p95,4871750.0
PushSortedDesc,16384.0,5560480.0,p99,4893740.0
PushSortedDesc,32768.0,13393800.0,mean,12238800.0
PushSortedDesc,32768.0,13239800.0,median,12164700.0
PushSortedDesc,32768.0,361984.0,stddev,248946.0
PushSortedDesc,32768.0,0.0270263,cv,0.0203407
PushSortedDesc,32768.0,13954300.0,p90,12569900.0
PushSortedDesc,32768.0,13994200.0,p95,12673400.0
PushSortedDesc,32768.0,14026000.0,p99,12756300.0
PushSortedDesc,65536.0,35468200.0,mean,30948100.0
PushSortedDesc,65536.0,35572700.0,median,30823300.0
PushSortedDesc,65536.0,1311570.0,stddev,406690.0
PushSortedDesc,65536.0,0.0369787,cv,0.013141
PushSortedDesc,65536.0,37009700.0,p90,31665000.0
PushSortedDesc,65536.0,37306300.0,p95,31684200.0
PushSortedDesc,65536.0,37543700.0,p99,31699500.0
PushSortedDesc,131072.0,88480900.0,mean,81676700.0
PushSortedDesc,131072.0,87980100.0,median,80992900.0
PushSortedDesc,131072.0,1910920.0,stddev,1548060.0
PushSortedDesc,131072.0,0.021597,cv,0.0189535
PushSortedDesc,131072.0,91442100.0,p90,83195200.0
PushSortedDesc,131072.0,91473800.0,p95,84399800.0
PushSortedDesc,131072.0,91499100.0,p99,85363500.0
PushSortedDesc,262144.0,229468000.0,mean,215286000.0
PushSortedDesc,262144.0,228742000.0,median,213829000.0
PushSortedDesc,262144.0,1924320.0,stddev,4235630.0
PushSortedDesc,262144.0,0.00838599,cv,0.0196744
PushSortedDesc,262144.0,232553000.0,p90,221041000.0
PushSortedDesc,262144.0,232574000.0,p95,222862000.0
PushSortedDesc,262144.0,232592000.0,p99,224319000.0
PushSortedDesc,524288.0,659678000.0,mean,568918000.0
PushSortedDesc,524288.0,655594000.0,median,564944000.0
PushSortedDesc,524288.0,30856500.0,stddev,13264500.0
PushSortedDesc,524288.0,0.046775,cv,0.0233154
PushSortedDesc,524288.0,697028000.0,p90,578202000.0
PushSortedDesc,524288.0,699529000.0,p95,590613000.0
PushSortedDesc,524288.0,701530000.0,p99,600542000.0
PushSortedDesc,1048576.0,1821300000.0,mean,1501240000.0
PushSortedDesc,1048576.0,1799760000.0,median,1493140000.0
PushSortedDesc,1048576.0,57871200.0,stddev,24023800.0
PushSortedDesc,1048576.0,0.0317746,cv,0.0160027
PushSortedDesc,1048576.0,1899610000.0,p90,1523750000.0
PushSortedDesc,1048576.0,1919190000.0,p95,1543760000.0
PushSortedDesc,1048576.0,1934860000.0,p99,1559770000.0
Extract,256.0,12126.3,mean,14330.8
Extract,256.0,12135.1,median,14309.7
Extract,256.0,218.116,stddev,81.3025
Extract,256.0,0.0179871,cv,0.00567326
Extract,256.0,12299.7,p90,14414.5
Extract,256.0,12407.2,p95,14461.9
Extract,256.0,12493.2,p99,14499.8
Extract,512.0,32703.5,mean,39002.8
Extract,512.0,31388.2,median,37111.5
Extract,512.0,2736.46,stddev,3957.1
Extract,512.0,0.0836748,cv,0.101457
Extract,512.0,35200.2,p90,45566.1
Extract,512.0,37285.7,p95,46410.8
Extract,512.0,38954.0,p99,47086.5
Extract,1024.0,97198.9,mean,125217.0
Extract,1024.0,95855.8,median,125558.0
Extract,1024.0,9724.84,stddev,9552.63
Extract,1024.0,0.100051,cv,0.0762888
Extract,1024.0,106580.0,p90,133861.0
Extract,1024.0,113053.0,p95,139376.0
Extract,1024.0,118231.0,p99,143789.0
Extract,2048.0,381516.0,mean,412684.0
Extract,2048.0,382048.0,median,412136.0
Extract,2048.0,8682.08,stddev,5201.72
Extract,2048.0,0.0227568,cv,0.0126046
Extract,2048.0,390742.0,p90,416353.0
Extract,2048.0,391180.0,p95,420466.0
Extract,2048.0,391530.0,p99,423756.0
Extract,4096.0,1008310.0,mean,1080560.0
Extract,4096.0,1012530.0,median,1074450.0
Extract,4096.0,19834.3,stddev,14670.0
Extract,4096.0,0.0196709,cv,0.0135764
Extract,4096.0,1029520.0,p90,1101820.0
Extract,4096.0,1032500.0,p95,1107150.0
Extract,4096.0,1034880.0,p99,1111410.0
Extract,8192.0,2580080.0,mean,2779730.0
Extract,8192.0,2566200.0,median,2764020.0
Extract,8192.0,49299.3,stddev,48622.7
Extract,8192.0,0.0191076,cv,0.0174919
Extract,8192.0,2619120.0,p90,2818320.0
Extract,8192.0,2659170.0,p95,2863600.0
Extract,8192.0,2691220.0,p99,2899830.0
Extract,16384.0,6910260.0,mean,7462570.0
Extract,16384.0,6872670.0,median,7488240.0
Extract,16384.0,177276.0,stddev,135231.0
Extract,16384.0,0.025654,cv,0.0181212
Extract,16384.0,6982900.0,p90,7569620.0
Extract,16384.0,7186720.0,p95,7600370.0
Extract,16384.0,7349780.0,p99,7624970.0
Extract,32768.0,18355700.0,mean,19305700.0
Extract,32768.0,18336200.0,median,19242500.0
Extract,32768.0,160594.0,stddev,399442.0
Extract,32768.0,0.00874897,cv,0.0206903
Extract,32768.0,18495000.0,p90,19787200.0
Extract,32768.0,18607500.0,p95,20005200.0
Extract,32768.0,18697500.0,p99,20179700.0
Extract,65536.0,49973800.0,mean,50432100.0
Extract,65536.0,49651300.0,median,50341600.0
Extract,65536.0,1107420.0,stddev,409592.0
Extract,65536.0,0.0221601,cv,0.00812166
Extract,65536.0,51310800.0,p90,50976300.0
Extract,65536.0,51441600.0,p95,51028500.0
Extract,65536.0,51546200.0,p99,51070200.0
Extract,131072.0,149896000.0,mean,134066000.0
Extract,131072.0,150376000.0,median,133695000.0
Extract,131072.0,4578760.0,stddev,1787580.0
Extract,131072.0,0.0305463,cv,0.0133336
Extract,131072.0,154549000.0,p90,135287000.0
Extract,131072.0,156113000.0,p95,136962000.0
Extract,131072.0,157364000.0,p99,138302000.0
Extract,262144.0,423227000.0,mean,356066000.0
Extract,262144.0,423525000.0,median,354857000.0
Extract,262144.0,8601970.0,stddev,3625120.0
Extract,262144.0,0.0203247,cv,0.010181
Extract,262144.0,433371000.0,p90,357477000.0
Extract,262144.0,435608000.0,p95,361735000.0
Extract,262144.0,437397000.0,p99,365141000.0
Extract,524288.0,1108480000.0,mean,959940000.0
Extract,524288.0,1146510000.0,median,959911000.0
Extract,524288.0,115858000.0,stddev,10903900.0
Extract,524288.0,0.10452,cv,0.011359
Extract,524288.0,1223120000.0,p90,976240000.0
Extract,524288.0,1230190000.0,p95,977242000.0
Extract,524288.0,1235850000.0,p99,978044000.0
Extract,1048576.0,2960770000.0,mean,2581150000.0
Extract,1048576.0,2850430000.0,median,2574490000.0
Extract,1048576.0,239733000.0,stddev,18769700.0
Extract,1048576.0,0.0809698,cv,0.00727185
Extract,1048576.0,3353210000.0,p90,2607140000.0
Extract,1048576.0,3355120000.0,p95,2610630000.0
Extract,1048576.0,3356640000.0,p99,2613420000.0
Remove,256.0,10864.4,mean,10146.6
Remove,256.0,10868.1,median,10143.2
Remove,256.0,34.5595,stddev,85.2783
Remove,256.0,0.00318098,cv,0.00840465
Remove,256.0,10890.9,p90,10229.5
Remove,256.0,10907.4,p95,10257.1
Remove,256.0,10920.5,p99,10279.1
Remove,512.0,34125.0,mean,31046.2
Remove,512.0,34400.1,median,30970.3
Remove,512.0,721.132,stddev,182.411
Remove,512.0,0.021132,cv,0.00587546
Remove,512.0,34918.1,p90,31221.4
Remove,512.0,34956.6,p95,31295.7
Remove,512.0,34987.4,p99,31355.1
,,,,124383.0
,,,,123211.0
,,,,6553.07
,,,,0.0526847
,,,,131292.0
,,,,131578.0
,,,,131808.0
,,,,624231.0
,,,,624465.0
,,,,7400.55
,,,,0.0118555
,,,,631666.0
,,,,632281.0
,,,,632774.0
,,,,2343100.0
,,,,2304590.0
,,,,93859.6
,,,,0.0400579
,,,,2440970.0
,,,,2471680.0
,,,,2496250.0
,,,,10698800.0
,,,,10647100.0
,,,,144518.0
,,,,0.0135078
,,,,10851100.0
,,,,10867400.0
,,,,10880400.0
,,,,40693100.0
,,,,40533600.0
,,,,844010.0
,,,,0.0207409
,,,,41509500.0
,,,,41825000.0
,,,,42077400.0
,,,,149108000.0
,,,,147924000.0
,,,,3127900.0
,,,,0.0209775
,,,,152456000.0
,,,,153234000.0
,,,,153857000.0
,,,,598438000.0
,,,,591552000.0
,,,,15688400.0
,,,,0.0262156
,,,,614978000.0
,,,,619924000.0
,,,,623881000.0
,,,,2086070000.0
,,,,2075530000.0
,,,,22286700.0
,,,,0.0106836
,,,,2109710000.0
,,,,2116690000.0
,,,,2122280000.0
,,,,7717790000.0
,,,,7728080000.0
,,,,27342600.0
,,,,0.0035428
,,,,7742130000.0
,,,,7746560000.0
,,,,7750110000.0
