op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedDesc,8192.0,0.0126576,cv,12654700.0,0.0263666
PushSortedDesc,8192.0,2145530.0,p90,12661000.0,2321770.0
PushSortedDesc,8192.0,2164240.0,p95,12666100.0,2342970.0
PushSortedDesc,8192.0,2179200.0,p99,26097700.0,2359920.0
PushSortedDesc,16384.0,5166210.0,mean,26161300.0,5206260.0
PushSortedDesc,16384.0,5172010.0,median,26395600.0,5149960.0
PushSortedDesc,16384.0,55394.7,stddev,26269200.0,187646.0
PushSortedDesc,16384.0,0.0107225,cv,26314500.0,0.0360425
PushSortedDesc,16384.0,5226230.0,p90,27062400.0,5445040.0
PushSortedDesc,16384.0,5228740.0,p95,26441900.0,5510450.0
PushSortedDesc,16384.0,5230750.0,p99,26035000.0,5562780.0
PushSortedDesc,32768.0,12358400.0,mean,26129800.0,11521500.0
PushSortedDesc,32768.0,12468400.0,median,25579800.0,11487400.0
PushSortedDesc,32768.0,274718.0,stddev,26248700.0,81883.7
PushSortedDesc,32768.0,0.0222293,cv,26215200.0,0.00710702
PushSortedDesc,32768.0,12584300.0,p90,374671.0,11626000.0
PushSortedDesc,32768.0,12646900.0,p95,0.0142739,11653000.0
PushSortedDesc,32768.0,12697000.0,p99,26503900.0,11674500.0
PushSortedDesc,65536.0,27955200.0,mean,26783200.0,26763200.0
PushSortedDesc,65536.0,28088600.0,median,27006500.0,26765500.0
PushSortedDesc,65536.0,471114.0,stddev,57784600.0,320185.0
PushSortedDesc,65536.0,0.0168525,cv,58879700.0,0.0119636
PushSortedDesc,65536.0,28475600.0,p90,58482400.0,27109800.0
PushSortedDesc,65536.0,28545700.0,p95,58600400.0,27191000.0
PushSortedDesc,65536.0,28601800.0,p99,59028000.0,27255900.0
PushSortedDesc,131072.0,63790500.0,mean,58720000.0,62201900.0
PushSortedDesc,131072.0,63879000.0,median,58193600.0,61653800.0
PushSortedDesc,131072.0,1372470.0,stddev,58496100.0,1543410.0
PushSortedDesc,131072.0,0.0215153,cv,58556700.0,0.0248129
PushSortedDesc,131072.0,65391500.0,p90,57718000.0,64531000.0
PushSortedDesc,131072.0,65645700.0,p95,58445900.0,64664300.0
PushSortedDesc,131072.0,65849000.0,p99,58526400.0,64770900.0
PushSortedDesc,262144.0,148411000.0,mean,431148.0,144850000.0
PushSortedDesc,262144.0,148557000.0,median,0.00737687,144523000.0
PushSortedDesc,262144.0,5084370.0,stddev,58894500.0,1095480.0
PushSortedDesc,262144.0,0.0342587,cv,58961300.0,0.00756282
PushSortedDesc,262144.0,155664000.0,p90,59014700.0,145961000.0
PushSortedDesc,262144.0,155772000.0,p95,125315000.0,146594000.0
PushSortedDesc,262144.0,155859000.0,p99,126653000.0,147101000.0
PushSortedDesc,524288.0,328606000.0,mean,126040000.0,340667000.0
PushSortedDesc,524288.0,328051000.0,median,126409000.0,334500000.0
PushSortedDesc,524288.0,3257750.0,stddev,126179000.0,15071900.0
PushSortedDesc,524288.0,0.00991384,cv,125038000.0,0.0442422
PushSortedDesc,524288.0,332564000.0,p90,127524000.0,361656000.0
PushSortedDesc,524288.0,332732000.0,p95,124594000.0,364064000.0
PushSortedDesc,524288.0,332866000.0,p99,124397000.0,365990000.0
PushSortedDesc,1048576.0,784752000.0,mean,126464000.0,834942000.0
PushSortedDesc,1048576.0,764815000.0,median,125861000.0,838681000.0
PushSortedDesc,1048576.0,33936300.0,stddev,126110000.0,9272590.0
PushSortedDesc,1048576.0,0.0432446,cv,995275.0,0.0111057
